localTime,remoteTime,label,ibi,bpm,signalOK
1623226543802,661776,rest,710,116,1
1623226545322,663330,rest,1452,97,0
1623226546347,664319,rest,926,90,0
1623226547340,665370,rest,972,82,1
1623226547844,666157,rest,746,76,0
1623226548853,667025,rest,802,71,0
1623226549359,667772,rest,710,71,0
1623226550365,668417,rest,588,72,0
1623226550869,669284,rest,834,71,0
1623226551880,670053,rest,722,70,1
1623226552388,670598,rest,508,72,0
1623226552904,670922,rest,304,84,0
1623226552904,671263,rest,318,92,0
1623226554903,672898,rest,1532,84,0
1623226555918,673949,rest,976,82,0
1623226556930,675100,rest,1088,79,0
1623226557435,675787,rest,652,79,0
1623226558440,676413,rest,590,79,0
1623226558945,677141,rest,676,81,0
1623226559967,678371,rest,1174,76,0
1623226562980,680995,rest,2446,61,0
1623226564498,682571,rest,1468,54,1
1623226566008,684468,rest,1802,48,0
1623226567544,685739,rest,1204,49,0
1623226568537,686547,rest,730,50,0
1623226569043,687032,rest,452,53,0
1623226569547,687578,rest,510,54,0
1623226570051,688265,rest,660,53,0
1623226570561,688872,rest,582,54,1
1623226571566,689557,rest,644,57,1
1623226573083,691495,rest,1790,60,0
1623226574609,692829,rest,1258,62,0
1623226575603,693636,rest,754,69,0
1623226576106,694121,rest,452,76,0
1623226576613,694826,rest,672,77,0
1623226577118,695511,rest,632,75,0
1623226578130,696158,rest,610,74,0
1623226578630,696642,rest,448,76,0
1623226578630,696944,rest,282,79,0
1623226579637,697651,rest,680,79,0
1623226580145,698136,rest,456,96,0
1623226580145,698439,rest,274,114,0
1623226580653,699065,rest,590,117,0
1623226581674,699834,rest,730,111,0
1623226582186,700500,rest,620,112,0
1623226583678,702013,rest,1428,98,0
1623226585196,703406,rest,1334,87,0
1623226586202,704255,rest,800,83,0
1623226586707,704901,rest,586,80,0
1623226587214,705528,rest,584,81,0
1623226588231,706233,rest,654,78,0
1623226588741,706960,rest,698,74,0
1623226589252,707667,rest,664,74,1
1623226590238,708253,rest,544,75,1
1623226591756,709750,rest,1404,69,0
1623226593270,711283,rest,1440,68,0
1623226594277,712513,rest,1154,70,1
1623226595814,713764,rest,1168,67,1
1623226596801,715036,rest,1198,63,1
1623226597813,715845,rest,752,62,0
1623226598316,716330,rest,452,63,0
1623226599335,717378,rest,986,61,1
1623226599828,718123,rest,684,61,0
1623226600331,718567,rest,410,62,0
1623226600840,719131,rest,528,68,0
1623226601848,719859,rest,674,75,0
1623226602363,720344,rest,468,81,1
1623226602363,720648,rest,280,93,0
1623226602873,721274,rest,576,103,0
1623226603865,721861,rest,562,106,1
1623226605381,723778,rest,1810,86,0
1623226606942,724948,rest,1088,84,1
1623226607414,725696,rest,702,84,0
1623226607903,726342,rest,612,82,0
1623226608915,726908,rest,542,82,0
1623226610448,728422,rest,1410,74,0
1623226611442,729553,rest,1050,69,0
1623226612447,730602,rest,996,64,1
1623226612957,731249,rest,598,64,0
1623226613968,731935,rest,652,63,0
1623226614490,732501,rest,532,73,0
1623226614978,733167,rest,624,77,0
1623226615480,733772,rest,580,79,1
1623226616490,734498,rest,674,78,1
1623226617003,735285,rest,742,76,0
1623226617999,735971,rest,642,84,0
1623226620021,737992,rest,1884,75,0
1623226621034,739304,rest,1238,73,1
1623226622039,740090,rest,742,72,0
1623226622548,740757,rest,618,72,0
1623226623556,741544,rest,744,70,0
1623226624070,742251,rest,678,70,0
1623226624580,742978,rest,676,69,0
1623226625575,743666,rest,644,69,1
1623226626078,744353,rest,646,70,1
1623226626583,744938,rest,556,71,1
1623226627087,745543,rest,554,84,1
1623226628101,746168,rest,566,93,1
1623226628597,746893,rest,678,94,1
1623226629609,747601,rest,656,93,1
1623226630626,748835,rest,1162,88,0
1623226632160,750128,rest,1218,81,0
1623226633666,751944,rest,1704,71,0
1623226634659,753054,rest,1044,68,0
1623226635666,753741,rest,626,68,0
1623226637689,755700,rest,1828,59,0
1623226639227,757194,rest,1390,55,1
1623226641219,759214,rest,1920,49,0
1623226642742,760750,rest,1444,46,1
1623226643755,761819,rest,998,45,0
1623226644319,762546,rest,668,46,0
1623226645266,763272,rest,688,48,0
1623226645776,763756,rest,468,54,0
1623226646875,765009,rest,1178,53,0
1623226647789,765778,rest,706,53,0
1623226648312,766303,rest,502,60,0
1623226649811,767855,rest,1450,59,0
1623226650810,768865,rest,954,66,1
1623226651319,769773,rest,856,70,1
1623226652334,770339,rest,514,75,0
1623226652334,770702,rest,350,78,0
1623226653354,771329,rest,600,79,0
1623226653839,771834,rest,470,79,0
1623226653839,772177,rest,324,89,0
1623226654343,772802,rest,584,90,0
1623226655858,774276,rest,1384,80,0
1623226657386,775387,rest,1050,84,0
1623226657876,776316,rest,872,85,0
1623226658893,776902,rest,540,89,0
1623226659472,777589,rest,638,88,0
1623226659907,778155,rest,526,85,0
1623226660425,778678,rest,498,87,0
1623226660907,779244,rest,536,86,0
1623226661414,779870,rest,588,83,1
1623226662421,780618,rest,710,81,0
1623226662926,781345,rest,682,90,0
1623226663939,781953,rest,576,97,1
1623226664441,782640,rest,628,101,1
1623226664952,783286,rest,620,100,1
1623226665959,783971,rest,630,100,1
1623226666461,784698,rest,660,98,1
1623226666973,785385,rest,642,95,1
1623226668002,785991,rest,574,95,1
1623226668481,786718,rest,660,94,1
1623226668991,787365,rest,618,95,1
1623226669497,787932,rest,524,97,1
1623226671014,789243,rest,1208,88,0
1623226672014,790049,rest,748,87,0
1623226672525,790534,rest,448,89,0
1623226672525,790957,rest,384,92,0
1623226673529,791522,rest,526,94,0
1623226675075,793378,rest,1732,80,0
1623226676555,794569,rest,1114,75,0
1623226677565,795577,rest,932,72,0
1623226678579,796607,rest,962,70,0
1623226679078,797374,rest,716,68,0
1623226679587,798041,rest,610,73,0
1623226680594,798608,rest,530,75,0
1623226680594,798950,rest,326,76,0
1623226681105,799294,rest,326,77,0
1623226681620,799597,rest,290,79,0
1623226681620,799880,rest,252,99,0
1623226682130,800143,rest,252,115,0
1623226682130,800445,rest,270,132,0
1623226682617,801050,rest,574,144,0
1623226683633,801616,rest,538,151,0
1623226684130,802160,rest,500,155,0
1623226685135,803170,rest,924,141,0
1623226685648,803999,rest,766,127,0
1623226686146,804605,rest,564,121,0
1623226687156,805150,rest,520,116,0
1623226688171,806320,rest,1074,100,0
1623226689271,807513,rest,1110,87,0
1623226690694,808704,rest,1094,78,0
1623226691702,809715,rest,940,74,1
1623226692714,810744,rest,952,71,1
1623226693716,811731,rest,906,67,1
1623226694725,812740,rest,924,67,1
1623226695239,813445,rest,670,68,0
1623226695752,814010,rest,530,68,0
1623226696262,814637,rest,580,68,0
1623226697253,815265,rest,584,72,0
1623226698259,816599,rest,1252,71,0
1623226699781,817809,rest,1120,71,0
1623226700787,819059,rest,1164,69,0
1623226701793,819807,rest,698,71,0
1623226702301,820272,rest,444,75,0
1623226703839,822030,rest,1638,69,0
1623226705324,823320,rest,1208,65,1
1623226706340,824572,rest,1170,60,1
1623226707348,825338,rest,720,60,0
1623226707848,825843,rest,476,60,0
1623226709883,827904,rest,1926,56,0
1623226711384,829437,rest,1438,55,0
1623226712390,830568,rest,1054,55,0
1623226714460,832425,rest,1756,50,0
