localTime,remoteTime,label,ibi,bpm,signalOK
1623228224028,2342030,rest,632,48,0
1623228225038,2343061,rest,944,47,1
1623228226052,2344072,rest,938,47,1
1623228227062,2345081,rest,934,51,1
1623228228069,2346110,rest,942,55,1
1623228230103,2348092,rest,1850,54,0
1623228231603,2349608,rest,1386,55,0
1623228234134,2352111,rest,2300,51,0
1623228237183,2355446,rest,252,238,0
1623228237684,2355728,rest,252,238,0
1623228238195,2356193,rest,438,222,0
1623228238677,2356678,rest,452,206,0
1623228238677,2356982,rest,272,205,0
1623228239182,2357263,rest,252,205,0
1623228239182,2357525,rest,252,205,0
1623228240189,2358212,rest,628,181,0
1623228240700,2358718,rest,470,170,0
1623228241716,2359749,rest,962,141,0
1623228242213,2360416,rest,610,131,0
1623228242719,2360801,rest,368,127,0
1623228243225,2361224,rest,390,129,0
1623228244234,2362657,rest,1324,108,0
1623228245743,2363747,rest,1022,95,0
1623228246759,2365162,rest,1308,81,0
1623228248275,2366274,rest,1012,74,1
1623228249280,2367707,rest,1326,68,0
1623228250794,2368816,rest,1008,64,0
1623228252327,2370312,rest,1390,61,0
1623228253321,2371340,rest,960,59,0
1623228254828,2373276,rest,1794,52,0
1623228256344,2374407,rest,1076,49,0
1623228257353,2375377,rest,902,50,0
1623228257859,2376224,rest,790,51,0
1623228258879,2376852,rest,582,55,0
1623228259389,2377600,rest,670,57,0
1623228260381,2378387,rest,734,60,0
1623228260890,2378911,rest,480,64,0
1623228261410,2379415,rest,454,71,0
1623228261410,2379859,rest,414,76,0
1623228262402,2380687,rest,782,87,0
1623228263918,2382364,rest,1550,81,0
1623228266455,2384443,rest,1922,71,0
1623228267957,2385998,rest,1432,66,1
1623228268969,2387010,rest,932,64,0
1623228269984,2387980,rest,900,62,0
1623228270486,2388708,rest,686,62,0
1623228271995,2390000,rest,1188,58,0
1623228273012,2391049,rest,980,55,1
1623228274034,2392241,rest,1106,52,0
1623228274518,2392969,rest,678,52,0
1623228275535,2393797,rest,768,56,0
1623228276541,2394544,rest,688,64,0
1623228277053,2395089,rest,502,71,0
1623228278053,2396079,rest,916,71,0
1623228279065,2397088,rest,956,70,0
1623228280074,2398119,rest,936,68,0
1623228281098,2399108,rest,926,71,0
1623228281617,2400036,rest,862,72,1
1623228282600,2400621,rest,540,77,0
1623228283104,2401125,rest,456,79,0
1623228283609,2401608,rest,448,82,0
1623228284112,2402154,rest,500,85,0
1623228284112,2402477,rest,302,87,0
1623228285117,2403123,rest,618,91,0
1623228286134,2404173,rest,962,91,0
1623228287147,2405185,rest,930,91,0
1623228288168,2406173,rest,912,91,0
1623228288676,2407102,rest,870,91,0
1623228289665,2407708,rest,552,91,0
1623228290675,2408699,rest,932,85,0
1623228291183,2409426,rest,672,82,0
1623228293705,2412009,rest,2388,65,0
1623228295744,2413725,rest,1580,57,0
1623228296734,2414757,rest,950,55,0
1623228297242,2415585,rest,760,56,0
1623228298250,2416294,rest,640,58,0
1623228298757,2416757,rest,434,61,0
1623228299262,2417242,rest,434,64,0
1623228299770,2418151,rest,862,62,0
1623228301784,2419787,rest,1498,58,0
1623228303319,2421484,rest,1568,54,0
1623228304820,2423217,rest,1586,58,0
1623228306324,2424368,rest,1076,61,0
1623228310870,2428892,rest,682,87,0
1623228311380,2429659,rest,708,87,0
1623228312382,2430407,rest,696,87,0
1623228313395,2431439,rest,958,84,0
1623228313917,2432186,rest,692,84,0
1623228314908,2432974,rest,720,83,1
1623228315415,2433457,rest,446,86,0
1623228315415,2433841,rest,358,90,0
1623228316427,2434447,rest,562,92,0
1623228317457,2435416,rest,900,89,0
1623228317937,2436183,rest,700,89,0
1623228318951,2437072,rest,824,87,0
1623228319458,2437861,rest,720,87,0
1623228324010,2442425,rest,828,72,0
1623228325035,2443013,rest,548,75,0
1623228325513,2443518,rest,458,78,0
1623228325513,2443981,rest,436,82,0
1623228327030,2445072,rest,1014,80,0
1623228328041,2446082,rest,936,79,0
1623228329048,2447091,rest,922,78,0
1623228330058,2448102,rest,940,77,1
1623228331073,2449112,rest,940,76,1
1623228332095,2450121,rest,938,75,1
1623228334603,2452605,rest,2302,63,0
1623228336114,2454121,rest,1390,58,1
1623228337128,2455151,rest,946,55,0
1623228338140,2456140,rest,942,53,0
1623228338652,2457089,rest,868,53,0
1623228339672,2457675,rest,538,55,0
1623228340156,2458160,rest,456,58,0
1623228340667,2458645,rest,438,61,0
1623228340667,2458949,rest,280,66,0
1623228341174,2459232,rest,252,71,0
1623228341174,2459494,rest,252,94,0
1623228342685,2460686,rest,1112,98,0
1623228343691,2461715,rest,954,98,0
1623228344196,2462402,rest,636,103,0
1623228345210,2463249,rest,762,105,1
1623228345719,2463734,rest,460,107,0
1623228346224,2464259,rest,490,106,0
1623228346737,2464725,rest,432,106,0
1623228346737,2465065,rest,302,106,0
1623228347728,2465732,rest,610,99,0
1623228348238,2466702,rest,880,90,0
1623228349251,2467267,rest,530,99,0
1623228349756,2467793,rest,478,107,0
1623228350261,2468277,rest,442,111,0
1623228350760,2468802,rest,508,116,0
1623228351269,2469307,rest,462,116,1
1623228351772,2469834,rest,486,116,1
1623228351772,2470156,rest,292,120,0
1623228352279,2470541,rest,370,118,0
1623228353296,2471531,rest,898,112,0
1623228355305,2473348,rest,1648,98,0
1623228357325,2475368,rest,1860,80,0
1623228359352,2477368,rest,1862,68,0
1623228360358,2478619,rest,1156,62,0
1623228362379,2480376,rest,1622,56,1
1623228363381,2481789,rest,1290,52,0
1623228364904,2482962,rest,1084,49,0
1623228365906,2483910,rest,874,47,0
1623228367932,2485930,rest,1850,42,0
1623228369953,2487970,rest,1902,39,0
1623228372478,2490454,rest,2300,37,0
1623228373988,2492030,rest,1460,38,0
1623228374999,2493021,rest,926,41,0
1623228375511,2493950,rest,856,42,0
1623228376535,2494536,rest,538,45,0
1623228377021,2495021,rest,460,48,0
1623228377021,2495323,rest,278,52,0
1623228378026,2496028,rest,652,53,0
1623228378531,2496796,rest,720,59,0
